filepath,label,label_id,utt_id,generator,split
E:\specrnet\kaggle_chunks\fake_biden-to-Obama_chunk0074.wav,fake,1,biden-to-Obama_chunk0074,kaggle,train
E:\specrnet\kaggle_chunks\fake_musk-to-obama_chunk0059.wav,fake,1,musk-to-obama_chunk0059,kaggle,train
E:\specrnet\kaggle_chunks\fake_taylor-to-trump_chunk0039.wav,fake,1,taylor-to-trump_chunk0039,kaggle,train
E:\specrnet\kaggle_chunks\fake_obama-to-ryan_chunk0072.wav,fake,1,obama-to-ryan_chunk0072,kaggle,train
E:\specrnet\kaggle_chunks\fake_obama-to-taylor_chunk0121.wav,fake,1,obama-to-taylor_chunk0121,kaggle,train
E:\specrnet\kaggle_chunks\fake_biden-to-Trump_chunk0080.wav,fake,1,biden-to-Trump_chunk0080,kaggle,train
E:\specrnet\kaggle_chunks\fake_biden-to-musk_chunk0024.wav,fake,1,biden-to-musk_chunk0024,kaggle,train
E:\specrnet\kaggle_chunks\fake_Obama-to-Trump_chunk0112.wav,fake,1,Obama-to-Trump_chunk0112,kaggle,train
E:\specrnet\kaggle_chunks\fake_musk-to-margot_chunk0046.wav,fake,1,musk-to-margot_chunk0046,kaggle,train
E:\specrnet\kaggle_chunks\fake_musk-to-linus_chunk0080.wav,fake,1,musk-to-linus_chunk0080,kaggle,train
E:\specrnet\kaggle_chunks\fake_biden-to-taylor_chunk0056.wav,fake,1,biden-to-taylor_chunk0056,kaggle,train
E:\specrnet\kaggle_chunks\fake_biden-to-taylor_chunk0086.wav,fake,1,biden-to-taylor_chunk0086,kaggle,train
E:\specrnet\kaggle_chunks\fake_trump-to-linus_chunk0125.wav,fake,1,trump-to-linus_chunk0125,kaggle,train
E:\specrnet\kaggle_chunks\fake_Obama-to-Biden_chunk0046.wav,fake,1,Obama-to-Biden_chunk0046,kaggle,train
E:\specrnet\kaggle_chunks\fake_trump-to-taylor_chunk0050.wav,fake,1,trump-to-taylor_chunk0050,kaggle,train
E:\specrnet\kaggle_chunks\fake_taylor-to-musk_chunk0039.wav,fake,1,taylor-to-musk_chunk0039,kaggle,train
