epoch,train_loss,val_f1,val_auc,val_eer,val_acc,val_precision,val_recall,inf_ms,grad_norm
0,0.5273969922123886,0.9408341416100873,0.85757300473267,0.22302158273427625,0.8911685994647636,0.8981481481481481,0.9877800407331976,1.877,0.964449
1,0.22154020299998725,0.9538162372386971,0.9771205438907531,0.0773930753564186,0.9152542372881356,0.9125581395348837,0.9989816700610998,1.761,3.250625
2,0.09005876476081406,0.9873417721518988,0.9950768509428709,0.0376782077392889,0.9776984834968778,0.9818731117824774,0.9928716904276986,1.952,6.103608
3,0.04853916281788814,0.9888211382113821,0.9972820114580434,0.028776978416201155,0.9803746654772525,0.986815415821501,0.9908350305498982,1.855,7.585933
4,0.03502086202455003,0.9913573970513472,0.9979779923515362,0.02158273381397108,0.9848349687778769,0.9898477157360406,0.9928716904276986,1.886,2.032663
5,0.029939866329475148,0.9938900203665988,0.9989157350290847,0.019348268838674566,0.9892952720785013,0.9938900203665988,0.9938900203665988,2.000,6.411904
6,0.02897588479355341,0.9959308240081384,0.9993113452211754,0.014388489209445007,0.9928635147190009,0.9949186991869918,0.9969450101832994,1.790,7.376521
7,0.02800845062905332,0.9859437751004017,0.9985127987223256,0.019348268839104343,0.9750223015165032,0.9722772277227723,1.0,1.812,2.801605
8,0.017780927691336084,0.9949135300101729,0.9993113452211755,0.016293279022403455,0.9910793933987511,0.9939024390243902,0.9959266802443992,1.897,3.926988
9,0.018289315179217516,0.9969512195121951,0.9992747146478337,0.014256619144602885,0.9946476360392507,0.9949290060851927,0.9989816700610998,1.885,5.123114
